status,propertyType,baths,fireplace,city,schools,sqft,zipcode,beds,state,stories,target
4,469,2.0,1535,726,79979,2658.0,2644,2.0,32,2.0,750000.0
125,1246,4.0,1592,1256,58212,2771.0,3920,4.0,27,3.0,819900.0
4,1129,2.0,1535,668,240529,2060.0,2147,3.0,17,2.0,185800.0
125,1246,2.5,1535,1165,143520,1379.0,1267,3.0,7,2.0,256980.0
4,1228,2.5,1535,193,206824,2000.0,189,3.0,24,2.0,1980000.0
125,1240,2.0,1535,1208,217559,880.0,1295,2.0,7,5.0,150000.0
125,1245,4.0,1535,905,67418,3000.0,168,3.0,24,2.0,1578000.0
125,1245,2.0,1535,193,166800,1408.0,172,4.0,24,2.0,628000.0
125,1245,3.0,1592,1403,21921,3031.0,2874,3.0,32,2.0,450000.0
4,571,2.5,1535,816,82239,807.0,2839,3.0,32,1.0,89871.0
125,1240,2.0,1535,1395,95705,1200.0,1449,2.0,7,9.0,375000.0
66,1128,2.0,1535,1158,195694,1394.0,4106,3.0,36,2.0,339900.0
124,1128,6.0,1535,1227,20314,5029.0,1344,6.0,7,2.0,1990000.0
124,1128,2.0,1449,1403,219229,1679.0,2868,3.0,32,1.0,235000.0
125,1246,3.0,1535,70,35642,1408.0,1079,2.0,9,2.0,124999.0
125,1245,5.0,1592,38,237746,3046.0,3626,5.0,3,2.0,1219900.0
66,1175,3.0,1535,1252,166902,1653.0,1582,3.0,7,2.0,214900.0
125,1245,3.0,1592,437,7569,2832.0,930,4.0,21,2.0,624900.0
4,1189,2.5,1535,765,203927,3559.0,1184,3.0,7,2.0,440000.0
4,1129,2.5,1535,1187,120362,2045.0,1156,4.0,7,2.0,195990.0
125,1240,2.0,1535,1165,168999,1276.0,1274,3.0,7,3.0,188900.0
73,1128,3.0,1535,1444,73646,2074.0,4020,4.0,36,3.0,709950.0
125,1246,3.0,1592,726,44101,1533.0,2661,2.0,32,2.0,129500.0
125,1245,2.5,1592,278,210919,1118.0,992,3.0,21,1.0,325000.0
125,1240,3.0,1535,765,101247,1737.0,1184,3.0,7,2.0,149900.0
125,1245,3.0,1535,865,244087,1763.0,3282,3.0,23,2.0,264500.0
120,469,2.5,1535,278,27571,1704.0,996,4.0,21,2.0,208900.0
4,1189,2.5,7,726,179843,5879.0,2683,3.0,32,2.0,759500.0
125,1246,3.0,1535,1715,65437,1673.0,1411,3.0,7,2.0,249000.0
124,399,2.0,1535,991,16963,1100.0,1331,1.0,7,2.0,820000.0
4,863,2.5,1535,1466,87930,0.0,1650,3.0,31,2.0,30000.0
4,1129,2.0,1535,854,48047,1794.0,3078,4.0,4,2.0,364988.0
125,1245,9.0,1592,548,192155,10330.0,1378,7.0,7,3.0,24000000.0
